"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
999,"No",41,"Research & Development","Research Director","Male","Divorced","Travel_Frequently",9,3,"Medical",1,3,5,3,19419,2,"No",17,3,2,1,21,2,4,18,16,0,11,"35-44","10+ years","10000+","6-10","0-1 years",0
1001,"No",27,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",16,4,"Technical Degree",3,3,1,2,2811,9,"No",14,3,2,1,4,2,3,2,2,2,2,"25-34","1-2 years","Under 3000","11-20","2-3 years",0
1002,"No",45,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",23,2,"Life Sciences",4,3,2,1,3633,1,"Yes",15,3,3,1,9,2,3,9,8,0,8,"45-54","6-10 years","3000-4999","21+","0-1 years",0
1003,"No",47,"Sales","Sales Executive","Female","Single","Travel_Rarely",4,2,"Life Sciences",4,3,2,4,4163,1,"Yes",17,3,3,0,9,0,3,9,0,0,7,"45-54","6-10 years","3000-4999","1-5","0-1 years",0
1004,"Yes",30,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",22,3,"Life Sciences",1,3,1,3,2132,4,"Yes",11,3,2,0,7,2,3,5,2,0,1,"25-34","3-5 years","Under 3000","21+","0-1 years",1
1005,"No",50,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",24,3,"Life Sciences",4,3,4,3,13973,3,"Yes",18,3,4,1,22,2,3,12,11,1,5,"45-54","10+ years","10000+","21+","0-1 years",0
1006,"No",38,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",10,1,"Medical",3,3,1,3,2684,0,"No",17,3,2,1,3,0,2,2,1,0,2,"35-44","1-2 years","Under 3000","6-10","0-1 years",0
1007,"No",46,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",7,2,"Medical",4,3,3,3,10845,6,"No",13,3,2,1,13,3,3,8,7,0,7,"45-54","6-10 years","10000+","6-10","0-1 years",0
1009,"No",24,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",17,1,"Medical",4,2,2,3,4377,1,"No",15,3,2,2,5,6,3,4,2,3,2,"Under 25","3-5 years","3000-4999","11-20","2-3 years",0
1010,"Yes",35,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",14,4,"Other",3,2,1,2,3743,1,"Yes",24,4,4,1,5,2,1,4,2,0,2,"35-44","3-5 years","3000-4999","11-20","0-1 years",1
1011,"No",31,"Research & Development","Manufacturing Director","Female","Married","Travel_Frequently",1,1,"Life Sciences",3,3,2,1,4148,1,"No",12,3,3,1,4,1,3,4,3,0,3,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1012,"No",18,"Research & Development","Research Scientist","Male","Single","Non-Travel",5,2,"Life Sciences",2,3,1,4,1051,1,"No",15,3,4,0,0,2,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",0
1013,"No",54,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",17,3,"Technical Degree",3,3,3,3,10739,8,"No",11,3,3,1,22,2,3,10,7,0,8,"45-54","6-10 years","10000+","11-20","0-1 years",0
1014,"No",35,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",25,4,"Medical",3,3,3,3,10388,1,"Yes",11,3,3,1,16,3,2,16,10,10,1,"35-44","10+ years","10000+","21+","6+ years",0
1015,"No",30,"Research & Development","Research Director","Female","Married","Travel_Rarely",8,2,"Life Sciences",2,4,3,1,11416,0,"Yes",12,3,3,3,9,4,2,8,7,1,7,"25-34","6-10 years","10000+","6-10","0-1 years",0
1016,"Yes",20,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",11,3,"Medical",4,2,1,1,2600,1,"Yes",15,3,1,0,1,2,3,1,0,0,0,"Under 25","1-2 years","Under 3000","11-20","0-1 years",1
1017,"Yes",30,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",5,3,"Medical",2,3,1,2,2422,0,"No",17,3,1,0,4,3,3,3,2,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",1
1018,"No",26,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",2,2,"Medical",4,4,2,4,5472,1,"No",12,3,2,0,8,2,3,8,7,1,3,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1019,"No",22,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",8,1,"Life Sciences",2,1,1,1,2451,1,"No",15,3,1,1,4,3,2,4,3,1,1,"Under 25","3-5 years","Under 3000","6-10","0-1 years",0
1022,"No",48,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",6,3,"Life Sciences",1,2,2,3,4240,2,"No",13,3,4,0,19,0,3,2,2,2,2,"45-54","1-2 years","3000-4999","6-10","2-3 years",0
1024,"No",48,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",4,4,"Life Sciences",3,2,3,3,10999,7,"No",14,3,2,0,27,3,3,15,11,4,8,"45-54","10+ years","10000+","1-5","4-5 years",0
1025,"No",41,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",7,2,"Medical",4,3,2,3,5003,6,"No",14,3,2,0,8,6,3,2,2,2,1,"35-44","1-2 years","5000-6999","6-10","2-3 years",0
1026,"No",39,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",1,1,"Life Sciences",4,2,4,4,12742,1,"No",16,3,3,1,21,3,3,21,6,11,8,"35-44","10+ years","10000+","1-5","6+ years",0
1027,"No",27,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",2,4,"Life Sciences",1,3,2,4,4227,0,"No",18,3,2,1,4,2,3,3,2,2,2,"25-34","3-5 years","3000-4999","1-5","2-3 years",0
1028,"No",35,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",10,3,"Other",2,3,1,4,3917,1,"No",20,4,1,1,3,4,2,3,2,1,2,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1029,"No",42,"Sales","Manager","Male","Married","Travel_Rarely",5,2,"Marketing",4,3,5,3,18303,6,"No",13,3,2,0,21,3,4,1,0,0,0,"35-44","1-2 years","10000+","1-5","0-1 years",0
1030,"No",50,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",9,3,"Life Sciences",1,3,1,4,2380,4,"No",18,3,2,0,8,5,3,1,0,0,0,"45-54","1-2 years","Under 3000","6-10","0-1 years",0
1032,"No",59,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",2,3,"Life Sciences",3,2,4,4,13726,3,"Yes",13,3,1,0,30,4,3,5,3,4,3,"55+","3-5 years","10000+","1-5","4-5 years",0
1033,"Yes",37,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",11,2,"Medical",1,1,2,2,4777,5,"No",15,3,1,0,15,2,1,1,0,0,0,"35-44","1-2 years","3000-4999","11-20","0-1 years",1
1034,"No",55,"Research & Development","Healthcare Representative","Male","Married","Travel_Frequently",18,4,"Medical",3,3,2,2,6385,3,"Yes",14,3,4,2,17,3,3,8,7,6,7,"55+","6-10 years","5000-6999","11-20","6+ years",0
1035,"No",41,"Research & Development","Research Director","Female","Divorced","Non-Travel",7,1,"Life Sciences",2,1,5,3,19973,1,"No",22,4,2,2,21,3,3,21,16,5,10,"35-44","10+ years","10000+","6-10","4-5 years",0
1036,"No",38,"Sales","Sales Executive","Male","Single","Travel_Rarely",3,4,"Life Sciences",2,3,2,4,6861,8,"Yes",12,3,3,0,19,1,3,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
1037,"Yes",26,"Sales","Sales Executive","Male","Single","Non-Travel",29,2,"Medical",2,1,2,1,4969,8,"No",18,3,4,0,7,6,3,2,2,2,2,"25-34","1-2 years","3000-4999","21+","2-3 years",1
1038,"Yes",52,"Sales","Manager","Female","Married","Travel_Rarely",2,1,"Marketing",1,1,5,4,19845,1,"No",15,3,4,1,33,3,3,32,14,6,9,"45-54","10+ years","10000+","1-5","6+ years",1
1039,"No",44,"Sales","Sales Executive","Female","Married","Travel_Rarely",28,3,"Medical",4,4,4,4,13320,3,"Yes",18,3,3,1,23,2,3,12,11,11,11,"35-44","10+ years","10000+","21+","6+ years",0
1040,"No",50,"Sales","Sales Executive","Female","Married","Non-Travel",1,3,"Life Sciences",4,3,2,3,6347,0,"No",12,3,1,1,19,3,3,18,7,0,13,"45-54","10+ years","5000-6999","1-5","0-1 years",0
1042,"Yes",36,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",16,4,"Life Sciences",3,4,1,1,2743,1,"No",16,3,3,0,18,1,3,17,13,15,14,"35-44","10+ years","Under 3000","11-20","6+ years",1
1043,"No",39,"Research & Development","Manufacturing Director","Female","Single","Travel_Frequently",22,3,"Medical",4,3,3,1,10880,1,"Yes",13,3,3,0,21,2,3,21,6,2,8,"35-44","10+ years","10000+","21+","2-3 years",0
1044,"No",33,"Sales","Sales Representative","Female","Single","Non-Travel",8,1,"Life Sciences",2,2,1,4,2342,0,"No",19,3,4,0,3,2,2,2,2,2,2,"25-34","1-2 years","Under 3000","6-10","2-3 years",0
1045,"No",45,"Sales","Manager","Female","Married","Travel_Rarely",11,2,"Life Sciences",4,3,4,4,17650,3,"No",13,3,2,1,26,4,4,9,3,1,1,"45-54","6-10 years","10000+","11-20","0-1 years",0
1046,"No",32,"Research & Development","Laboratory Technician","Female","Single","Non-Travel",29,4,"Medical",4,3,1,3,4025,9,"No",12,3,2,0,10,2,3,8,7,7,7,"25-34","6-10 years","3000-4999","21+","6+ years",0
1047,"No",34,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",1,4,"Marketing",2,4,2,4,9725,0,"No",11,3,4,1,16,2,2,15,1,0,9,"25-34","10+ years","7000-9999","1-5","0-1 years",0
1048,"No",59,"Sales","Manager","Male","Married","Travel_Rarely",1,2,"Technical Degree",2,3,3,4,11904,3,"Yes",14,3,3,1,14,1,1,6,4,0,4,"55+","6-10 years","10000+","1-5","0-1 years",0
1049,"No",45,"Human Resources","Human Resources","Male","Single","Travel_Rarely",24,4,"Medical",2,3,1,2,2177,1,"No",16,3,1,0,6,3,3,6,3,0,4,"45-54","6-10 years","Under 3000","21+","0-1 years",0
1050,"No",53,"Sales","Sales Executive","Female","Married","Travel_Frequently",2,3,"Marketing",3,2,3,2,7525,2,"No",12,3,1,1,30,2,3,15,7,6,12,"45-54","10+ years","7000-9999","1-5","6+ years",0
1052,"Yes",36,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",15,3,"Other",1,3,2,3,4834,7,"No",14,3,2,1,9,3,2,1,0,0,0,"35-44","1-2 years","3000-4999","11-20","0-1 years",1
1053,"Yes",26,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",2,3,"Life Sciences",1,3,1,1,2042,6,"Yes",14,3,2,1,6,2,3,3,2,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",1
1055,"No",34,"Sales","Sales Representative","Female","Married","Travel_Rarely",10,4,"Life Sciences",3,3,1,3,2220,1,"Yes",19,3,4,1,1,2,3,1,1,0,0,"25-34","1-2 years","Under 3000","6-10","0-1 years",0
1056,"No",28,"Sales","Sales Representative","Male","Married","Travel_Rarely",10,1,"Medical",4,3,1,2,1052,1,"No",22,4,2,0,1,5,3,1,0,0,0,"25-34","1-2 years","Under 3000","6-10","0-1 years",0
1060,"No",38,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",3,4,"Other",3,3,1,3,2821,3,"No",16,3,1,1,8,2,3,2,2,2,2,"35-44","1-2 years","Under 3000","1-5","2-3 years",0
1061,"No",50,"Research & Development","Research Director","Male","Married","Travel_Rarely",2,4,"Medical",2,3,5,3,19237,2,"Yes",11,3,4,1,29,2,2,8,1,7,7,"45-54","6-10 years","10000+","1-5","6+ years",0
1062,"No",37,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",3,3,"Other",4,3,2,2,4107,3,"No",15,3,1,0,8,3,2,4,3,0,1,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
1066,"No",40,"Sales","Sales Executive","Male","Married","Travel_Rarely",26,3,"Marketing",3,3,2,1,8396,1,"No",14,3,2,1,8,3,2,7,7,7,5,"35-44","6-10 years","7000-9999","21+","6+ years",0
1068,"No",26,"Research & Development","Research Scientist","Female","Divorced","Travel_Frequently",1,1,"Medical",1,2,1,3,2007,1,"No",13,3,3,2,5,5,3,5,3,1,3,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1069,"No",46,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",1,4,"Medical",4,3,5,4,19627,9,"No",17,3,4,2,23,0,3,2,2,2,2,"45-54","1-2 years","10000+","1-5","2-3 years",0
1070,"No",54,"Sales","Sales Executive","Female","Married","Travel_Rarely",2,4,"Life Sciences",3,2,3,3,10686,6,"No",11,3,2,1,13,4,3,9,4,7,0,"45-54","6-10 years","10000+","1-5","6+ years",0
1071,"No",56,"Research & Development","Research Scientist","Female","Married","Travel_Frequently",9,3,"Medical",1,3,1,3,2942,2,"No",19,3,2,1,18,4,3,5,4,0,3,"55+","3-5 years","Under 3000","6-10","0-1 years",0
1073,"No",36,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",12,5,"Medical",4,2,3,4,8858,0,"No",11,3,2,0,15,2,2,14,8,7,8,"35-44","10+ years","7000-9999","11-20","6+ years",0
1074,"No",55,"Research & Development","Manager","Male","Single","Non-Travel",2,1,"Medical",3,2,4,1,16756,7,"No",15,3,2,0,31,3,4,9,7,6,2,"55+","6-10 years","10000+","1-5","6+ years",0
1076,"No",43,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",25,3,"Medical",3,2,3,4,10798,5,"No",13,3,3,1,18,5,3,1,0,0,0,"35-44","1-2 years","10000+","21+","0-1 years",0
1077,"Yes",20,"Sales","Sales Representative","Female","Single","Travel_Frequently",9,3,"Marketing",4,3,1,4,2323,1,"Yes",14,3,2,0,2,3,3,2,2,0,2,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1079,"Yes",21,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",10,3,"Life Sciences",3,2,1,1,1416,1,"No",13,3,1,0,1,6,2,1,0,1,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1080,"No",46,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",8,4,"Life Sciences",4,2,2,1,4615,8,"Yes",23,4,1,3,19,2,3,16,13,1,7,"45-54","10+ years","3000-4999","6-10","0-1 years",0
1081,"Yes",51,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",4,4,"Life Sciences",1,3,1,3,2461,9,"Yes",12,3,3,3,18,2,4,10,0,2,7,"45-54","6-10 years","Under 3000","1-5","2-3 years",1
1082,"Yes",28,"Research & Development","Healthcare Representative","Male","Single","Non-Travel",24,2,"Technical Degree",2,2,3,1,8722,1,"No",12,3,1,0,10,2,2,10,7,1,9,"25-34","6-10 years","7000-9999","21+","0-1 years",1
1083,"No",26,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",1,2,"Medical",1,2,1,1,3955,1,"No",16,3,1,2,6,2,3,5,3,1,3,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1084,"No",30,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",20,3,"Other",3,3,2,1,9957,0,"No",15,3,3,1,7,1,2,6,2,0,2,"25-34","6-10 years","7000-9999","11-20","0-1 years",0
1085,"No",41,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",7,2,"Technical Degree",2,4,1,3,3376,1,"No",13,3,3,0,10,3,3,10,6,0,8,"35-44","6-10 years","3000-4999","6-10","0-1 years",0
1088,"No",38,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",17,1,"Life Sciences",3,2,3,3,8823,0,"No",18,3,1,1,20,4,2,19,9,1,9,"35-44","10+ years","7000-9999","11-20","0-1 years",0
1092,"No",40,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",20,4,"Technical Degree",1,3,3,4,10322,4,"No",20,4,4,1,14,6,3,11,10,11,1,"35-44","10+ years","10000+","11-20","6+ years",0
1094,"No",27,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",8,5,"Life Sciences",1,1,1,3,4621,1,"No",19,3,4,3,3,4,3,3,2,1,2,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1096,"No",55,"Research & Development","Manufacturing Director","Male","Married","Travel_Frequently",2,1,"Life Sciences",4,3,3,2,10976,3,"No",18,3,2,1,23,4,3,3,2,1,2,"55+","3-5 years","10000+","1-5","0-1 years",0
1097,"No",28,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",10,3,"Other",3,3,2,3,3660,3,"No",13,3,4,0,10,4,4,8,7,1,7,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
1098,"Yes",44,"Human Resources","Human Resources","Male","Married","Travel_Rarely",1,2,"Medical",2,2,3,1,10482,9,"No",14,3,4,1,24,1,3,20,6,3,6,"35-44","10+ years","10000+","1-5","2-3 years",1
1099,"No",33,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",5,3,"Life Sciences",4,2,3,4,7119,4,"No",15,3,3,1,9,2,3,3,2,1,2,"25-34","3-5 years","7000-9999","1-5","0-1 years",0
1100,"Yes",35,"Sales","Sales Executive","Male","Single","Travel_Rarely",4,3,"Technical Degree",4,3,3,1,9582,0,"Yes",22,4,1,0,9,2,3,8,7,4,7,"35-44","6-10 years","7000-9999","1-5","4-5 years",1
1101,"Yes",33,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",29,4,"Medical",1,2,2,3,4508,1,"No",22,4,2,0,14,4,3,13,7,3,8,"25-34","10+ years","3000-4999","21+","2-3 years",1
1102,"No",28,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",15,2,"Life Sciences",1,3,1,3,2207,1,"No",16,3,4,1,4,5,2,4,2,2,2,"25-34","3-5 years","Under 3000","11-20","2-3 years",0
1103,"No",34,"Research & Development","Healthcare Representative","Male","Single","Travel_Frequently",3,1,"Life Sciences",1,3,2,4,7756,0,"No",17,3,3,0,7,1,2,6,2,0,4,"25-34","6-10 years","7000-9999","1-5","0-1 years",0
1105,"No",37,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",10,4,"Life Sciences",4,2,2,4,6694,2,"Yes",14,3,3,3,8,5,3,1,0,0,0,"35-44","1-2 years","5000-6999","6-10","0-1 years",0
1106,"Yes",25,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",4,1,"Technical Degree",4,3,1,4,3691,1,"Yes",15,3,2,1,7,3,4,7,7,5,6,"25-34","6-10 years","3000-4999","1-5","4-5 years",1
1107,"Yes",26,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",21,3,"Medical",1,3,1,3,2377,1,"No",20,4,3,1,1,0,2,1,1,0,0,"25-34","1-2 years","Under 3000","21+","0-1 years",1
1108,"Yes",33,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",25,3,"Medical",1,2,1,2,2313,4,"Yes",20,4,2,0,5,0,3,2,2,2,2,"25-34","1-2 years","Under 3000","21+","2-3 years",1
1109,"No",42,"Research & Development","Manager","Male","Married","Travel_Rarely",2,2,"Medical",4,3,4,1,17665,0,"No",17,3,4,1,23,3,3,22,6,13,7,"35-44","10+ years","10000+","1-5","6+ years",0
1111,"Yes",28,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Frequently",1,3,"Medical",1,2,1,2,2596,1,"No",15,3,1,2,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",1
1113,"Yes",50,"Sales","Sales Executive","Male","Single","Travel_Frequently",1,4,"Other",4,3,2,3,4728,3,"Yes",14,3,4,0,5,4,3,0,0,0,0,"45-54","Under 1 year","3000-4999","1-5","0-1 years",1
1114,"No",33,"Sales","Sales Executive","Female","Married","Travel_Frequently",7,3,"Life Sciences",4,3,2,2,4302,0,"No",17,3,3,1,4,3,3,3,2,0,2,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1115,"No",34,"Research & Development","Research Scientist","Male","Married","Non-Travel",3,4,"Life Sciences",3,2,1,4,2979,3,"No",17,3,4,3,6,2,3,0,0,0,0,"25-34","Under 1 year","Under 3000","1-5","0-1 years",0
1116,"No",48,"Research & Development","Manager","Male","Single","Non-Travel",1,4,"Medical",1,4,4,4,16885,2,"No",22,4,3,0,27,3,2,5,4,2,1,"45-54","3-5 years","10000+","1-5","2-3 years",0
1117,"No",45,"Sales","Sales Executive","Female","Married","Non-Travel",9,4,"Life Sciences",2,2,2,3,5593,1,"No",13,3,4,1,15,2,3,15,10,4,12,"45-54","10+ years","5000-6999","6-10","4-5 years",0
1118,"No",52,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",7,4,"Life Sciences",2,3,3,2,10445,7,"No",19,3,4,0,18,4,3,8,6,4,0,"45-54","6-10 years","10000+","6-10","4-5 years",0
1119,"No",38,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",10,4,"Marketing",3,2,3,3,8740,0,"Yes",14,3,2,2,9,2,3,8,7,2,7,"35-44","6-10 years","7000-9999","6-10","2-3 years",0
1120,"No",29,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",28,4,"Life Sciences",3,3,1,4,2514,4,"No",22,4,1,1,11,1,3,7,5,1,7,"25-34","6-10 years","Under 3000","21+","0-1 years",0
1121,"No",28,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",3,3,"Medical",4,3,3,2,7655,0,"No",17,3,2,3,10,3,2,9,7,1,7,"25-34","6-10 years","7000-9999","1-5","0-1 years",0
1124,"No",46,"Sales","Manager","Male","Married","Travel_Rarely",3,1,"Marketing",1,3,4,3,17465,3,"No",12,3,4,1,23,3,3,12,9,4,9,"45-54","10+ years","10000+","1-5","4-5 years",0
1125,"No",38,"Sales","Sales Executive","Male","Single","Travel_Rarely",2,2,"Marketing",4,3,3,2,7351,7,"No",16,3,3,0,10,2,3,1,0,0,0,"35-44","1-2 years","7000-9999","1-5","0-1 years",0
1126,"No",43,"Research & Development","Manufacturing Director","Female","Married","Travel_Frequently",27,3,"Life Sciences",3,3,3,1,10820,8,"No",11,3,3,1,18,1,3,8,7,0,1,"35-44","6-10 years","10000+","21+","0-1 years",0
1127,"Yes",39,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Frequently",2,3,"Life Sciences",1,3,4,4,12169,7,"No",11,3,4,3,21,4,3,18,7,11,5,"35-44","10+ years","10000+","1-5","6+ years",1
1128,"No",40,"Research & Development","Research Director","Male","Single","Travel_Rarely",14,3,"Medical",3,2,5,3,19626,1,"No",14,3,1,0,21,2,4,20,7,4,9,"35-44","10+ years","10000+","11-20","4-5 years",0
1131,"No",21,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",1,1,"Technical Degree",4,2,1,2,2070,1,"Yes",11,3,3,0,2,6,4,2,2,2,2,"Under 25","1-2 years","Under 3000","1-5","2-3 years",0
1132,"No",39,"Research & Development","Laboratory Technician","Male","Single","Non-Travel",9,3,"Life Sciences",3,3,2,2,6782,9,"No",15,3,3,0,9,2,2,5,4,0,3,"35-44","3-5 years","5000-6999","6-10","0-1 years",0
1133,"No",36,"Research & Development","Manufacturing Director","Male","Single","Non-Travel",18,4,"Life Sciences",1,3,2,4,7779,2,"No",20,4,1,0,18,0,3,11,9,0,9,"35-44","10+ years","7000-9999","11-20","0-1 years",0
1135,"No",31,"Sales","Sales Representative","Male","Married","Travel_Frequently",20,3,"Life Sciences",3,4,1,4,2791,0,"No",12,3,1,1,3,4,3,2,2,2,2,"25-34","1-2 years","Under 3000","11-20","2-3 years",0
1136,"No",28,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",2,1,"Life Sciences",1,2,1,2,3201,0,"No",17,3,1,0,6,2,1,5,3,0,4,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1137,"No",35,"Sales","Sales Executive","Male","Divorced","Travel_Frequently",11,2,"Marketing",4,3,2,4,4968,1,"No",11,3,4,1,5,3,3,5,2,0,2,"35-44","3-5 years","3000-4999","11-20","0-1 years",0
1138,"No",49,"Sales","Sales Executive","Male","Married","Travel_Rarely",8,4,"Technical Degree",4,2,4,2,13120,6,"No",17,3,2,1,22,3,3,9,8,2,3,"45-54","6-10 years","10000+","6-10","2-3 years",0
1140,"No",34,"Research & Development","Manufacturing Director","Male","Single","Travel_Frequently",2,2,"Life Sciences",4,3,2,3,4033,2,"No",11,3,4,0,5,3,2,3,2,0,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1143,"No",29,"Research & Development","Research Scientist","Female","Divorced","Travel_Frequently",10,3,"Life Sciences",4,3,1,2,3291,0,"No",14,3,4,2,8,2,2,7,5,1,1,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
1148,"No",42,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",29,3,"Medical",2,1,2,4,4272,4,"No",19,3,1,0,16,3,3,1,0,0,0,"35-44","1-2 years","3000-4999","21+","0-1 years",0
1150,"No",29,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",8,1,"Medical",2,2,2,4,5056,1,"Yes",15,3,3,1,10,2,2,10,7,1,2,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
1152,"No",38,"Human Resources","Human Resources","Male","Married","Travel_Rarely",1,3,"Human Resources",3,4,1,3,2844,1,"No",13,3,4,1,7,2,4,7,6,5,0,"35-44","6-10 years","Under 3000","1-5","4-5 years",0
1154,"No",28,"Research & Development","Research Scientist","Male","Divorced","Travel_Frequently",6,3,"Life Sciences",3,2,1,3,2703,1,"Yes",14,3,4,1,3,2,3,3,1,0,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
1156,"Yes",18,"Research & Development","Laboratory Technician","Male","Single","Non-Travel",8,1,"Medical",3,3,1,3,1904,1,"No",12,3,4,0,0,0,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","6-10","0-1 years",1
1157,"Yes",33,"Sales","Sales Executive","Female","Single","Travel_Rarely",9,4,"Marketing",1,3,2,1,8224,0,"Yes",17,3,1,0,6,3,3,5,2,0,3,"25-34","3-5 years","7000-9999","6-10","0-1 years",1
1158,"No",41,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",12,4,"Life Sciences",2,3,1,4,4766,3,"Yes",11,3,1,1,6,4,3,1,0,0,0,"35-44","1-2 years","3000-4999","11-20","0-1 years",0
1160,"Yes",31,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",15,3,"Medical",3,3,1,3,2610,1,"No",12,3,3,1,2,5,2,2,2,2,2,"25-34","1-2 years","Under 3000","11-20","2-3 years",1
1161,"No",37,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",25,2,"Medical",3,2,2,4,5731,7,"No",13,3,3,2,9,2,3,6,2,1,3,"35-44","6-10 years","5000-6999","21+","0-1 years",0
1162,"No",27,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",6,3,"Life Sciences",4,2,1,3,2539,1,"No",13,3,3,1,4,0,3,4,2,2,2,"25-34","3-5 years","Under 3000","6-10","2-3 years",0
1163,"No",34,"Sales","Sales Executive","Female","Married","Travel_Rarely",9,1,"Life Sciences",2,3,2,3,5714,1,"No",20,4,1,0,6,3,2,6,5,1,3,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
